n_bits,tables_num,pat,type,ratio,ns_avg,ns_std,ns_perc25,ns_median,ns_perc75
2,1,unary::M2L::NoTable,read_unbuff,0.750024,3.424295909090909,0.0019062815350595946,3.422866,3.424251,3.424711
2,1,unary::M2L::Table,read_buff,0.749653,3.4974515454545454,0.02410318437619245,3.500849,3.506619,3.50675
2,1,unary::M2L::Table,read_unbuff,0.749653,6.0549919090909095,1.913343806198638,5.473164,5.481794,5.483247
2,1,unary::L2M::NoTable,read_buff,0.750239,1.5959773636363634,0.008742162790439536,1.587569,1.600306,1.602063
2,1,unary::L2M::NoTable,read_unbuff,0.750239,2.9983603636363636,0.004501820482265529,2.999553,2.999851,2.99999
2,1,unary::L2M::Table,read_buff,0.749834,3.1764312727272728,0.010824780146413257,3.169684,3.178775,3.179283
2,1,unary::L2M::Table,read_unbuff,0.749834,5.557301818181818,1.9206729255368715,4.976452,4.981636,4.982891
2,1,gamma::M2L::NoTable,read_buff,0.750545,2.304853818181818,0.021813515497590856,2.28761,2.313278,2.317987
2,1,gamma::M2L::NoTable,read_unbuff,0.750545,6.3129018181818175,1.8518086768095572,5.735891,5.75587,5.775058
2,1,gamma::M2L::Table,read_buff,0.750124,4.704996727272728,0.11329181367609116,4.599353,4.725309,4.774324
2,1,gamma::M2L::Table,read_unbuff,0.750124,7.655203090909091,1.8444795105867378,7.033999,7.078254,7.117457
2,1,gamma::L2M::NoTable,read_buff,0.750415,2.1100113636363638,0.032659932122626106,2.116912,2.121694,2.124772
2,1,gamma::L2M::NoTable,read_unbuff,0.750415,5.234719272727274,0.05006589359052883,5.191691,5.21427,5.248486
2,1,gamma::L2M::Table,read_buff,0.75004,4.831587090909092,0.11431363267559531,4.738698,4.805899,4.846334
2,1,gamma::L2M::Table,read_unbuff,0.75004,6.780842272727273,1.8432446477386062,6.214166,6.22884,6.235163
2,1,zeta3::M2L::NoTable,read_buff,0,7.725958545454546,1.951365316005046,7.099199,7.117389,7.169112
2,1,zeta3::M2L::NoTable,read_unbuff,0,8.857149181818182,0.035600669611169374,8.830108,8.854671,8.862913
2,1,zeta3::M2L::Table,read_buff,0,7.483140545454546,0.0489296294475313,7.439816,7.46889,7.487897
2,1,zeta3::M2L::Table,read_unbuff,0,10.911241454545456,2.4913066563834074,9.777951,9.784524,9.835643
2,1,zeta3::L2M::NoTable,read_buff,0,7.185299272727272,0.0473759424245912,7.150882,7.177139,7.180785
2,1,zeta3::L2M::NoTable,read_unbuff,0,9.415838363636363,2.543585218573393,8.26069,8.276086,8.287298
2,1,zeta3::L2M::Table,read_buff,0,8.023107727272727,1.840299296329382,7.453083,7.474315,7.48107
2,1,zeta3::L2M::Table,read_unbuff,0,9.624778999999998,1.9114922283616007,9.035754,9.042811,9.054456
2,1,delta::M2L::Table,read_buff,0.278429,5.558320545454546,0.02535739245412911,5.534574,5.55906,5.567532
2,1,delta::M2L::Table,read_unbuff,0.278429,8.07252018181818,0.018871668478532465,8.060014,8.06985,8.077048
2,1,delta::M2L::NoTable,read_buff,0.279464,4.736793181818181,0.10099113759218481,4.639877,4.740863,4.83617
2,1,delta::M2L::NoTable,read_unbuff,0.279464,8.281712545454544,1.9589592918496477,7.54884,7.697832,7.875867
2,1,delta::L2M::Table,read_buff,0.279904,5.122330181818183,0.5316674105347851,4.850617,4.882186,5.09879
2,1,delta::L2M::Table,read_unbuff,0.279904,7.841770000000001,1.805255597368971,7.192936,7.235215,7.405388
2,1,delta::L2M::NoTable,read_buff,0.279414,4.454065636363636,1.938458850760432,3.852945,3.877168,3.89605
2,1,delta::L2M::NoTable,read_unbuff,0.279414,7.558641545454546,1.8331325531565557,6.981559,6.997043,7.041409
2,1,delta_gamma::M2L::Table,read_buff,0.279819,7.298164818181819,2.4593745407137892,6.17097,6.207371,6.252357
2,1,delta_gamma::M2L::Table,read_unbuff,0.279819,8.868000454545456,0.14507534406877218,8.760022,8.908487,8.960386
2,1,delta_gamma::M2L::NoTable,read_buff,0.2793,6.950547454545454,1.8405903139839328,6.317271,6.335019,6.455732
2,1,delta_gamma::M2L::NoTable,read_unbuff,0.2793,8.773097909090911,0.05379042211110553,8.742382,8.761368,8.803882
2,1,delta_gamma::L2M::Table,read_buff,0.279441,5.875047727272728,0.05469475577620012,5.829966,5.851658,5.890449
2,1,delta_gamma::L2M::Table,read_unbuff,0.279441,7.995865363636364,1.86128767086371,7.410071,7.454158,7.471962
2,1,delta_gamma::L2M::NoTable,read_buff,0.279894,7.510694,2.5271431721965816,6.281405,6.410816,6.498944
2,1,delta_gamma::L2M::NoTable,read_unbuff,0.279894,7.346481090909091,0.01960454764820929,7.334683,7.342285,7.353062
2,2,unary::M2L::NoTable,read_buff,0.750271,1.628712818181818,0.028647273024908278,1.608979,1.610181,1.624618
2,2,unary::M2L::NoTable,read_unbuff,0.750271,3.431191363636364,0.007160178004389608,3.427285,3.428229,3.429408
2,2,unary::M2L::Table,read_buff,0.749941,3.141496090909091,0.004193792208837869,3.138497,3.140428,3.141613
2,2,unary::M2L::Table,read_unbuff,0.749941,6.080696090909091,1.8391402570457454,5.514474,5.528021,5.537621
2,2,unary::L2M::NoTable,read_buff,0.750071,1.5955396363636363,0.004024183327651108,1.593461,1.596641,1.59837
2,2,unary::L2M::NoTable,read_unbuff,0.750071,3.0204045454545456,0.010940452909853704,3.009207,3.020233,3.029449
2,2,unary::L2M::Table,read_buff,0.750074,3.7420056363636367,1.932310355859652,3.153165,3.159287,3.165454
2,2,unary::L2M::Table,read_unbuff,0.750074,5.007341818181819,0.01822505374926609,4.998071,5.004988,5.020717
2,2,gamma::M2L::NoTable,read_buff,0.749941,2.3195152727272723,0.027403011021020718,2.298658,2.316753,2.323766
2,2,gamma::M2L::NoTable,read_unbuff,0.749941,6.342473818181818,1.8458448908539862,5.773339,5.789096,5.795828
2,2,gamma::M2L::Table,read_buff,0.7502,5.213168,1.8287138578536555,4.625619,4.629202,4.646192
2,2,gamma::M2L::Table,read_unbuff,0.7502,7.113304727272728,0.05860493923568386,7.068076,7.111504,7.116437
2,2,gamma::L2M::NoTable,read_buff,0.749954,2.1067392727272725,0.05818802212155167,2.091734,2.129874,2.134209
2,2,gamma::L2M::NoTable,read_unbuff,0.749954,5.336603545454547,0.040019455419492034,5.306472,5.32922,5.36199
2,2,gamma::L2M::Table,read_buff,0.749951,4.631783727272728,0.025841148229484367,4.604091,4.637251,4.64514
2,2,gamma::L2M::Table,read_unbuff,0.749951,7.315354727272727,1.85969122171618,6.63814,6.753302,6.872968
2,2,zeta3::M2L::NoTable,read_buff,0,7.219404181818183,0.03167435470161365,7.203552,7.231229,7.238847
2,2,zeta3::M2L::NoTable,read_unbuff,0,10.08769927272727,2.5363702123194516,8.935726,8.94779,8.962611
2,2,zeta3::M2L::Table,read_buff,0,7.503132000000001,0.038398044015288256,7.484695,7.506429,7.532152
2,2,zeta3::M2L::Table,read_unbuff,0,10.817504909090909,2.478055095224456,9.676585,9.709928,9.73488
2,2,zeta3::L2M::NoTable,read_buff,0,7.861005363636364,1.9274760864559268,7.261674,7.28015,7.31354
2,2,zeta3::L2M::NoTable,read_unbuff,0,9.551051727272728,2.472831794734575,8.416752,8.453212,8.471131
2,2,zeta3::L2M::Table,read_buff,0,8.682215636363637,2.482937154975022,7.557525,7.568699,7.586755
2,2,zeta3::L2M::Table,read_unbuff,0,9.027866181818183,0.04670439801735605,8.998127,9.011996,9.030343
2,2,delta::M2L::Table,read_buff,0.279858,6.027112545454545,1.9359039300519727,5.429003,5.4417,5.462656
2,2,delta::M2L::Table,read_unbuff,0.279858,8.587049727272726,1.9246613310433127,7.993665,8.017891,8.029458
2,2,delta::M2L::NoTable,read_buff,0.279405,4.610613909090909,0.029100177966653554,4.571898,4.61678,4.620602
2,2,delta::M2L::NoTable,read_unbuff,0.279405,8.703147272727273,2.6051891448787776,7.50338,7.540689,7.561764
2,2,delta::L2M::Table,read_buff,0.279713,5.602646818181817,1.9031845554561868,4.999477,5.019918,5.063771
2,2,delta::L2M::Table,read_unbuff,0.279713,7.103706,0.017284054587972154,7.086562,7.107844,7.109251
2,2,delta::L2M::NoTable,read_buff,0.279643,5.005934909090909,2.469457007495836,3.874754,3.907957,3.937259
2,2,delta::L2M::NoTable,read_unbuff,0.279643,6.982504818181819,0.04295877060814996,6.958769,6.976459,7.00534
2,2,delta_gamma::M2L::Table,read_buff,0.279221,6.056434818181819,0.03074607050931285,6.02809,6.053328,6.075971
2,2,delta_gamma::M2L::Table,read_unbuff,0.279221,9.917476727272726,2.6594046751602542,8.62985,8.755786,8.830846
2,2,delta_gamma::M2L::NoTable,read_buff,0.279119,6.9908946363636355,1.9055620376235074,6.363667,6.404393,6.461718
2,2,delta_gamma::M2L::NoTable,read_unbuff,0.279119,8.702125727272726,0.12268404638182658,8.605158,8.650229,8.695806
2,2,delta_gamma::L2M::Table,read_buff,0.279511,5.861650454545454,0.06248291616652294,5.822488,5.838855,5.847153
2,2,delta_gamma::L2M::Table,read_unbuff,0.279511,8.695728454545453,1.8711495857251157,7.997805,8.054477,8.165726
2,2,delta_gamma::L2M::NoTable,read_buff,0.279323,6.1240974545454545,0.11630166608468151,6.034919,6.047453,6.164388
2,2,delta_gamma::L2M::NoTable,read_unbuff,0.279323,8.650878454545454,1.817600021304432,8.02038,8.121326,8.171545
3,1,unary::M2L::NoTable,read_buff,0.874633,1.6086722727272726,0.006491607722142635,1.602302,1.608108,1.613135
3,1,unary::M2L::NoTable,read_unbuff,0.874633,3.425261,0.0024251672519643008,3.423309,3.424158,3.425714
3,1,unary::M2L::Table,read_buff,0.874911,2.4954373636363636,0.008295568928924963,2.489036,2.491816,2.497252
3,1,unary::M2L::Table,read_unbuff,0.874911,5.340201,1.9097445630825083,4.751329,4.756937,4.770087
3,1,unary::L2M::NoTable,read_buff,0.875432,2.153241545454546,1.8390059823833833,1.587409,1.604956,1.607797
3,1,unary::L2M::NoTable,read_unbuff,0.875432,2.993011181818182,0.0036123838339296097,2.989501,2.993919,2.995424
3,1,unary::L2M::Table,read_buff,0.875342,2.5254984545454544,0.00392274833155623,2.523413,2.524342,2.528122
3,1,unary::L2M::Table,read_unbuff,0.875342,4.8982313636363655,1.9315742725134994,4.301316,4.315525,4.33347
3,1,gamma::M2L::NoTable,read_buff,0.937762,2.862593636363637,1.875217683626638,2.284915,2.30798,2.312818
3,1,gamma::M2L::NoTable,read_unbuff,0.937762,5.812673090909091,0.018293211563061098,5.802075,5.816973,5.82469
3,1,gamma::M2L::Table,read_buff,0.937664,3.3784450909090906,0.2038603032958867,3.225492,3.306213,3.341129
3,1,gamma::M2L::Table,read_unbuff,0.937664,5.747727727272728,1.8970862559434187,5.139912,5.150206,5.17221
